epoch,accuracy,loss,lr,precision,val_accuracy,val_loss,val_precision
0,0.53668123,0.7595164934620586,5e-06,0.50888425,0.565559446811676,0.7230635285377502,0.4924451410770416
1,0.56462884,0.7214047661514782,5e-06,0.48491466,0.5314685106277466,0.7900262475013733,0.4832284152507782
2,0.60873365,0.6995667495061216,2.5e-06,0.48622316,0.6599650382995605,0.5868977904319763,0.4967215955257416
3,0.6131004,0.6789942176841752,2.5e-06,0.50334966,0.6048951148986816,0.6582454442977905,0.506840169429779
4,0.6113537,0.6814787641623135,1.25e-06,0.5086572,0.6118881106376648,0.8180313110351562,0.5107443928718567
5,0.6113537,0.670644276397197,6.25e-07,0.5119807,0.6468531489372253,0.6164460182189941,0.5143110752105713
6,0.61004364,0.6787476950857837,3.125e-07,0.51678133,0.6459790468215942,0.7331952452659607,0.5179916024208069
7,0.61048037,0.6743186017311296,1.5625e-07,0.519799,0.6381118893623352,0.6153628826141357,0.5201941132545471
8,0.6292576,0.6578457859145502,7.8125e-08,0.52210474,0.6433566212654114,0.70168137550354,0.5237793326377869
9,0.6113537,0.6729931774097759,3.90625e-08,0.5246658,0.6433566212654114,0.6562443375587463,0.5252689123153687
10,0.62707424,0.6585785069840444,1.953125e-08,0.5264318,0.6433566212654114,0.6293815970420837,0.5275640487670898
11,0.6165939,0.671715835296431,9.765625e-09,0.52816844,0.6433566212654114,0.6831040382385254,0.5290167927742004
12,0.6327511,0.6520439597196453,4.8828124e-09,0.52998555,0.6433566212654114,0.6534451842308044,0.530780017375946
